,word,upvotes,num_comments,frequency,avg_upvotes,avg_num_comments
2078,company,109558,7204,29,3777.862068965517,248.41379310344828
2079,right,252267,13055,16,15766.6875,815.9375
2100,mississippi,21239,2584,18,1179.9444444444443,143.55555555555554
2103,released,244131,12842,21,11625.285714285714,611.5238095238095
2113,sourc,6702,1104,19,352.7368421052632,58.10526315789474
2137,texas,1420283,97697,92,15437.858695652174,1061.9239130434783
2151,week,94620,11284,44,2150.4545454545455,256.45454545454544
2165,couple,228529,17054,23,9936.04347826087,741.4782608695652
2173,jailed,115400,8028,18,6411.111111111111,446.0
2186,suspected,34983,3360,26,1345.5,129.23076923076923
2222,legal,124412,6706,19,6548.0,352.94736842105266
2228,lawmakers,116525,6357,17,6854.411764705882,373.94117647058823
2233,georgia,317275,21250,46,6897.282608695652,461.95652173913044
2234,town,55418,3663,20,2770.9,183.15
2239,largest,78366,4917,20,3918.3,245.85
2240,confederate,506562,30235,30,16885.4,1007.8333333333334
2243,target,117938,6615,21,5616.0952380952385,315.0
2244,worker,87736,5232,18,4874.222222222223,290.6666666666667
2245,put,72558,5838,16,4534.875,364.875
2250,bank,113833,5231,24,4743.041666666667,217.95833333333334
2256,polic,148122,6397,30,4937.4,213.23333333333332
2264,mans,24009,2790,16,1500.5625,174.375
2285,fatally,85642,18803,35,2446.9142857142856,537.2285714285714
2297,feds,260868,13935,28,9316.714285714286,497.67857142857144
2330,guard,246002,21143,35,7028.628571428571,604.0857142857143
2346,block,45615,3723,18,2534.1666666666665,206.83333333333334
2362,taiwan,51485,3156,18,2860.277777777778,175.33333333333334
2386,local,168243,7708,17,9896.64705882353,453.4117647058824
2429,power,176345,13778,34,5186.617647058823,405.2352941176471
2440,live,42898,4129,20,2144.9,206.45
2446,charges,587766,29422,66,8905.545454545454,445.7878787878788
2449,chicago,128720,8991,23,5596.521739130435,390.9130434782609
2467,removed,280714,19397,22,12759.727272727272,881.6818181818181
2486,victims,79266,4853,17,4662.705882352941,285.47058823529414
2489,shows,535436,44672,58,9231.655172413793,770.2068965517242
2512,public,256646,14494,43,5968.511627906977,337.06976744186045
2545,warn,63793,7608,18,3544.0555555555557,422.6666666666667
2546,francisco,274920,17230,19,14469.473684210527,906.8421052631579
2547,charge,262449,18649,21,12497.57142857143,888.047619047619
2575,second,94792,6994,29,3268.689655172414,241.17241379310346
2590,troops,237715,24324,27,8804.25925925926,900.8888888888889
2591,government,117067,12428,35,3344.7714285714287,355.0857142857143
2592,use,228793,14125,40,5719.825,353.125
2597,force,509018,24661,50,10180.36,493.22
2608,rise,12242,2436,19,644.3157894736842,128.21052631578948
2611,hits,24496,3841,24,1020.6666666666666,160.04166666666666
2620,money,228582,16993,28,8163.642857142857,606.8928571428571
2625,riot,1060894,54340,67,15834.23880597015,811.044776119403
2637,campaign,101726,6160,25,4069.04,246.4
2644,airlines,22717,3457,19,1195.6315789473683,181.94736842105263
2654,lost,11120,1349,17,654.1176470588235,79.3529411764706
2681,hundreds,56818,8528,39,1456.871794871795,218.66666666666666
2698,groups,275375,13027,16,17210.9375,814.1875
2719,left,171677,8782,23,7464.217391304348,381.82608695652175
2743,protesters,1170900,109928,98,11947.959183673469,1121.7142857142858
2756,taken,78685,8584,16,4917.8125,536.5
2763,york,657171,38330,66,9957.136363636364,580.7575757575758
2775,senate,157198,11789,16,9824.875,736.8125
2782,gas,99654,6528,27,3690.8888888888887,241.77777777777777
2828,hour,220932,11249,16,13808.25,703.0625
2832,risk,18278,1712,17,1075.1764705882354,100.70588235294117
2859,close,193081,15829,26,7426.192307692308,608.8076923076923
2875,sue,65054,2986,22,2957.0,135.72727272727272
2889,millions,248676,15888,27,9210.222222222223,588.4444444444445
2910,kill,232761,16474,26,8952.346153846154,633.6153846153846
